N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
148,롯데정밀화학,"52,200","1,100",+2.15%,"5,000","13,468","25,800",23.66,"238,016",6.88,11.73,
149,일양약품,"70,400",500,-0.71%,"2,500","13,436","19,086",8.03,"193,980",144.86,5.20,
150,현대오토에버,"63,800",100,-0.16%,500,"13,398","21,000",1.32,"62,777",23.29,11.71,
151,HDC현대산업개발,"20,200",250,+1.25%,"5,000","13,313","65,907",8.09,"390,559",2.86,20.30,
152,영진약품,"7,200",370,-4.89%,500,"13,168","182,893",5.42,"3,558,882",553.85,4.43,
153,TIGER 단기통안채,"100,735",5,0.00%,0,"13,162","13,066",5.57,"1,596",N/A,N/A,
154,지누스,"90,900","2,400",+2.71%,500,"13,096","14,407",20.15,"103,971",16.54,26.32,
155,메리츠금융지주,"9,720",0,0.00%,500,"13,026","134,011",8.07,"30,281",3.22,15.26,
156,한화에어로스페이스,"25,550",200,-0.78%,"5,000","12,936","50,630",16.30,"261,492",12.08,5.45,
157,대한유화,"198,500","5,000",-2.46%,"5,000","12,902","6,500",13.82,"98,745",15.38,6.11,
158,SK디스커버리,"67,300","2,200",+3.38%,"5,000","12,812","19,038",10.48,"257,823",5.24,11.52,
159,영원무역,"28,900",350,+1.23%,500,"12,806","44,311",22.89,"91,464",9.10,9.82,
160,대우건설,"3,075",45,-1.44%,"5,000","12,780","415,623",9.00,"2,052,171",6.96,8.80,
161,아이에스동서,"40,250","1,100",+2.81%,500,"12,434","30,893",5.16,"59,707",21.29,6.10,
162,한전KPS,"27,600",50,-0.18%,200,"12,420","45,000",12.82,"162,571",7.81,14.98,
163,진원생명과학,"27,400",750,-2.66%,"1,000","12,259","44,740",11.16,"1,767,655",-93.52,-28.50,
164,현대미포조선,"30,400","1,100",+3.75%,"5,000","12,142","39,942",12.07,"451,776",20.32,2.31,
165,한화시스템,"10,900",150,+1.40%,"5,000","12,015","110,230",1.71,"335,853",15.44,8.15,
166,더블유게임즈,"64,400",100,-0.16%,500,"11,833","18,375",16.29,"62,614",11.22,18.93,
167,KODEX 코스닥150 레버리지,"11,845",465,+4.09%,0,"11,786","99,500",0.78,"59,522,707",N/A,N/A,
168,KODEX 인버스,"5,400",35,-0.64%,0,"11,713","216,900",1.49,"48,823,440",N/A,N/A,
169,이노션,"58,000",700,+1.22%,500,"11,600","20,000",28.92,"41,285",17.36,9.88,
170,현대위아,"42,650",650,+1.55%,"5,000","11,599","27,195",10.82,"265,208",18.40,1.80,
171,KODEX 200TR,"10,090",75,+0.75%,0,"11,593","114,900",20.14,"155,470",N/A,N/A,
172,SK네트웍스,"4,605",15,+0.33%,"2,500","11,429","248,188",11.61,"364,327",-39.03,-5.85,
173,DGB금융지주,"6,730",210,-3.03%,"5,000","11,384","169,146",47.13,"1,377,589",3.66,7.31,
174,파미셀,"18,500",350,+1.93%,500,"11,092","59,959",7.39,"1,347,352",181.37,8.78,
175,대웅제약,"95,100","2,400",+2.59%,"2,500","11,019","11,587",4.72,"95,949",-444.39,4.34,
176,금호타이어,"3,760",40,+1.08%,"5,000","10,801","287,260",4.11,"438,692",-7.72,-3.30,
177,JB금융지주,"5,350",40,-0.74%,"5,000","10,539","196,983",38.83,"622,316",3.23,10.36,
178,두산솔루스,"34,350",750,+2.23%,100,"10,508","30,590",7.78,"145,295",76.16,N/A,
179,롯데관광개발,"15,100",200,+1.34%,500,"10,461","69,276",6.16,"142,191",-22.91,-4.77,
180,신세계인터내셔날,"145,000",0,0.00%,"5,000","10,353","7,140",4.93,"20,655",16.72,12.98,
